Recipe_id,Cuisine
3482,Middle Eastern
3483,Middle Eastern
3484,Middle Eastern
3485,Middle Eastern
3486,Middle Eastern
3487,Middle Eastern
3488,Middle Eastern
3489,Middle Eastern
3490,Middle Eastern
3491,Middle Eastern
3492,Middle Eastern
3493,Middle Eastern
3494,Middle Eastern
3495,Middle Eastern
3496,Middle Eastern
3497,Middle Eastern
3498,Middle Eastern
3499,Middle Eastern
3500,Middle Eastern
3501,Middle Eastern
3502,Middle Eastern
3503,Middle Eastern
3504,Middle Eastern
3505,Middle Eastern
3506,Middle Eastern
3507,Middle Eastern
3508,Middle Eastern
3509,Middle Eastern
3510,Middle Eastern
3511,Middle Eastern
3512,Middle Eastern
3513,Middle Eastern
3514,Middle Eastern
3515,Middle Eastern
3516,Middle Eastern
3517,Middle Eastern
3518,Middle Eastern
3519,Middle Eastern
3520,Middle Eastern
3521,Middle Eastern
3522,Middle Eastern
3523,Middle Eastern
3524,Middle Eastern
3525,Middle Eastern
3526,Middle Eastern
3527,Middle Eastern
3528,Middle Eastern
3529,Middle Eastern
3530,Middle Eastern
3531,Middle Eastern
3532,Middle Eastern
3533,Middle Eastern
3534,Middle Eastern
3535,Middle Eastern
3536,Middle Eastern
3537,Middle Eastern
3538,Middle Eastern
3539,Middle Eastern
3540,Middle Eastern
3541,Middle Eastern
3542,Middle Eastern
3543,Middle Eastern
3544,Middle Eastern
3545,Middle Eastern
3546,Middle Eastern
3547,Middle Eastern
3548,Middle Eastern
3549,Middle Eastern
3550,Middle Eastern
3551,Middle Eastern
3552,Middle Eastern
3553,Middle Eastern
3554,Middle Eastern
3555,Middle Eastern
3556,Middle Eastern
3557,Middle Eastern
3558,Middle Eastern
3559,Middle Eastern
3560,Middle Eastern
3561,Middle Eastern
3562,Middle Eastern
3563,Middle Eastern
3564,Middle Eastern
3565,Middle Eastern
3566,Middle Eastern
3567,Middle Eastern
3568,Middle Eastern
3569,Middle Eastern
3570,Middle Eastern
3571,Middle Eastern
3572,Middle Eastern
3573,Middle Eastern
